number	hierarchy	ko_number	description
KO-5.8.4	KO-a5.a8.a4	04380	Osteoclast differentiation
KO-5.9	KO-a5.a9	09149	Aging
KO-5.9.1	KO-a5.a9.a1	04211	Longevity regulating pathway
KO-5.9.2	KO-a5.a9.a2	04212	Longevity regulating pathway - worm
KO-5.9.3	KO-a5.a9.a3	04213	Longevity regulating pathway - multiple species
KO-5.10	KO-a5.b0	09159	Environmental adaptation
KO-5.10.1	KO-a5.b0.a1	04710	Circadian rhythm
KO-5.10.2	KO-a5.b0.a2	04713	Circadian entrainment
KO-5.10.3	KO-a5.b0.a3	04711	Circadian rhythm - fly
KO-5.10.4	KO-a5.b0.a4	04712	Circadian rhythm - plant
KO-5.10.5	KO-a5.b0.a5	04714	Thermogenesis
KO-5.10.6	KO-a5.b0.a6	04626	Plant-pathogen interaction
KO-6	KO-a6	09160	Human Diseases
KO-6.1	KO-a6.a1	09161	Cancer: overview
KO-6.1.1	KO-a6.a1.a1	05200	Pathways in cancer
KO-6.1.2	KO-a6.a1.a2	05202	Transcriptional misregulation in cancer
KO-6.1.3	KO-a6.a1.a3	05206	MicroRNAs in cancer
KO-6.1.4	KO-a6.a1.a4	05205	Proteoglycans in cancer
KO-6.1.5	KO-a6.a1.a5	05204	Chemical carcinogenesis - DNA adducts
KO-6.1.6	KO-a6.a1.a6	05207	Chemical carcinogenesis - receptor activation
KO-6.1.7	KO-a6.a1.a7	05208	Chemical carcinogenesis - reactive oxygen species
KO-6.1.8	KO-a6.a1.a8	05203	Viral carcinogenesis
KO-6.1.9	KO-a6.a1.a9	05230	Central carbon metabolism in cancer
KO-6.1.10	KO-a6.a1.b0	05231	Choline metabolism in cancer
KO-6.1.11	KO-a6.a1.b1	05235	PD-L1 expression and PD-1 checkpoint pathway in cancer
KO-6.2	KO-a6.a2	09162	Cancer: specific types
KO-6.2.1	KO-a6.a2.a1	05210	Colorectal cancer
KO-6.2.2	KO-a6.a2.a2	05212	Pancreatic cancer
KO-6.2.3	KO-a6.a2.a3	05225	Hepatocellular carcinoma
KO-6.2.4	KO-a6.a2.a4	05226	Gastric cancer
KO-6.2.5	KO-a6.a2.a5	05214	Glioma
KO-6.2.6	KO-a6.a2.a6	05216	Thyroid cancer
KO-6.2.7	KO-a6.a2.a7	05221	Acute myeloid leukemia
KO-6.2.8	KO-a6.a2.a8	05220	Chronic myeloid leukemia
KO-6.2.9	KO-a6.a2.a9	05217	Basal cell carcinoma
KO-6.2.10	KO-a6.a2.b0	05218	Melanoma
KO-6.2.11	KO-a6.a2.b1	05211	Renal cell carcinoma
KO-6.2.12	KO-a6.a2.b2	05219	Bladder cancer
KO-6.2.13	KO-a6.a2.b3	05215	Prostate cancer
KO-6.2.14	KO-a6.a2.b4	05213	Endometrial cancer
KO-6.2.15	KO-a6.a2.b5	05224	Breast cancer
KO-6.2.16	KO-a6.a2.b6	05222	Small cell lung cancer
KO-6.2.17	KO-a6.a2.b7	05223	Non-small cell lung cancer
KO-6.3	KO-a6.a3	09172	Infectious disease: viral
KO-6.3.1	KO-a6.a3.a1	05166	Human T-cell leukemia virus 1 infection
KO-6.3.2	KO-a6.a3.a2	05170	Human immunodeficiency virus 1 infection
KO-6.3.3	KO-a6.a3.a3	05161	Hepatitis B
KO-6.3.4	KO-a6.a3.a4	05160	Hepatitis C
KO-6.3.5	KO-a6.a3.a5	05171	Coronavirus disease - COVID-19
KO-6.3.6	KO-a6.a3.a6	05164	Influenza A
KO-6.3.7	KO-a6.a3.a7	05162	Measles
KO-6.3.8	KO-a6.a3.a8	05168	Herpes simplex virus 1 infection
KO-6.3.9	KO-a6.a3.a9	05163	Human cytomegalovirus infection
KO-6.3.10	KO-a6.a3.b0	05167	Kaposi sarcoma-associated herpesvirus infection
KO-6.3.11	KO-a6.a3.b1	05169	Epstein-Barr virus infection
KO-6.3.12	KO-a6.a3.b2	05165	Human papillomavirus infection
KO-6.4	KO-a6.a4	09171	Infectious disease: bacterial
KO-6.4.1	KO-a6.a4.a1	05110	Vibrio cholerae infection
KO-6.4.2	KO-a6.a4.a2	05120	Epithelial cell signaling in Helicobacter pylori infection
KO-6.4.3	KO-a6.a4.a3	05130	Pathogenic Escherichia coli infection
KO-6.4.4	KO-a6.a4.a4	05132	Salmonella infection
KO-6.4.5	KO-a6.a4.a5	05131	Shigellosis
KO-6.4.6	KO-a6.a4.a6	05135	Yersinia infection
KO-6.4.7	KO-a6.a4.a7	05133	Pertussis
KO-6.4.8	KO-a6.a4.a8	05134	Legionellosis
KO-6.4.9	KO-a6.a4.a9	05150	Staphylococcus aureus infection
KO-6.4.10	KO-a6.a4.b0	05152	Tuberculosis
KO-6.4.11	KO-a6.a4.b1	05100	Bacterial invasion of epithelial cells
KO-6.5	KO-a6.a5	09174	Infectious disease: parasitic
KO-6.5.1	KO-a6.a5.a1	05146	Amoebiasis
KO-6.5.2	KO-a6.a5.a2	05144	Malaria
KO-6.5.3	KO-a6.a5.a3	05145	Toxoplasmosis
KO-6.5.4	KO-a6.a5.a4	05140	Leishmaniasis
KO-6.5.5	KO-a6.a5.a5	05142	Chagas disease
KO-6.5.6	KO-a6.a5.a6	05143	African trypanosomiasis
KO-6.6	KO-a6.a6	09163	Immune disease
KO-6.6.1	KO-a6.a6.a1	05310	Asthma
KO-6.6.2	KO-a6.a6.a2	05322	Systemic lupus erythematosus
KO-6.6.3	KO-a6.a6.a3	05323	Rheumatoid arthritis
KO-6.6.4	KO-a6.a6.a4	05320	Autoimmune thyroid disease
KO-6.6.5	KO-a6.a6.a5	05321	Inflammatory bowel disease
KO-6.6.6	KO-a6.a6.a6	05330	Allograft rejection
KO-6.6.7	KO-a6.a6.a7	05332	Graft-versus-host disease
KO-6.6.8	KO-a6.a6.a8	05340	Primary immunodeficiency
KO-6.7	KO-a6.a7	09164	Neurodegenerative disease
KO-6.7.1	KO-a6.a7.a1	05010	Alzheimer disease
KO-6.7.2	KO-a6.a7.a2	05012	Parkinson disease
KO-6.7.3	KO-a6.a7.a3	05014	Amyotrophic lateral sclerosis
KO-6.7.4	KO-a6.a7.a4	05016	Huntington disease
KO-6.7.5	KO-a6.a7.a5	05017	Spinocerebellar ataxia
KO-6.7.6	KO-a6.a7.a6	05020	Prion disease
KO-6.7.7	KO-a6.a7.a7	05022	Pathways of neurodegeneration - multiple diseases
KO-6.8	KO-a6.a8	09165	Substance dependence
KO-6.8.1	KO-a6.a8.a1	05030	Cocaine addiction
KO-6.8.2	KO-a6.a8.a2	05031	Amphetamine addiction
KO-6.8.3	KO-a6.a8.a3	05032	Morphine addiction
KO-6.8.4	KO-a6.a8.a4	05033	Nicotine addiction
KO-6.8.5	KO-a6.a8.a5	05034	Alcoholism
KO-6.9	KO-a6.a9	09166	Cardiovascular disease
KO-6.9.1	KO-a6.a9.a1	05417	Lipid and atherosclerosis
KO-6.9.2	KO-a6.a9.a2	05418	Fluid shear stress and atherosclerosis
KO-6.9.3	KO-a6.a9.a3	05410	Hypertrophic cardiomyopathy
KO-6.9.4	KO-a6.a9.a4	05412	Arrhythmogenic right ventricular cardiomyopathy
KO-6.9.5	KO-a6.a9.a5	05414	Dilated cardiomyopathy
KO-6.9.6	KO-a6.a9.a6	05415	Diabetic cardiomyopathy
KO-6.9.7	KO-a6.a9.a7	05416	Viral myocarditis
KO-6.10	KO-a6.b0	09167	Endocrine and metabolic disease
KO-6.10.1	KO-a6.b0.a1	04930	Type II diabetes mellitus
KO-6.10.2	KO-a6.b0.a2	04940	Type I diabetes mellitus
KO-6.10.3	KO-a6.b0.a3	04950	Maturity onset diabetes of the young
KO-6.10.4	KO-a6.b0.a4	04932	Non-alcoholic fatty liver disease
KO-6.10.5	KO-a6.b0.a5	04931	Insulin resistance
KO-6.10.6	KO-a6.b0.a6	04933	AGE-RAGE signaling pathway in diabetic complications
KO-6.10.7	KO-a6.b0.a7	04934	Cushing syndrome
KO-6.11	KO-a6.b1	09175	Drug resistance: antimicrobial
KO-6.11.1	KO-a6.b1.a1	01501	beta-Lactam resistance
KO-6.11.2	KO-a6.b1.a2	01502	Vancomycin resistance
KO-6.11.3	KO-a6.b1.a3	01503	Cationic antimicrobial peptide (CAMP) resistance
KO-6.12	KO-a6.b2	09176	Drug resistance: antineoplastic
KO-6.12.1	KO-a6.b2.a1	01521	EGFR tyrosine kinase inhibitor resistance
KO-6.12.2	KO-a6.b2.a2	01524	Platinum drug resistance
KO-6.12.3	KO-a6.b2.a3	01523	Antifolate resistance
KO-6.12.4	KO-a6.b2.a4	01522	Endocrine resistance
KO-7	KO-a7	09180	Brite Hierarchies
KO-7.1	KO-a7.a1	09181	Protein families: metabolism
KO-7.1.2	KO-a7.a1.a2	01001	Protein kinases
KO-7.1.3	KO-a7.a1.a3	01009	Protein phosphatases and associated proteins
KO-7.1.4	KO-a7.a1.a4	01002	Peptidases and inhibitors
KO-7.1.5	KO-a7.a1.a5	01003	Glycosyltransferases
KO-7.1.6	KO-a7.a1.a6	01005	Lipopolysaccharide biosynthesis proteins
KO-7.1.7	KO-a7.a1.a7	01011	Peptidoglycan biosynthesis and degradation proteins
KO-7.1.8	KO-a7.a1.a8	01004	Lipid biosynthesis proteins
KO-7.1.9	KO-a7.a1.a9	01008	Polyketide biosynthesis proteins
KO-7.1.10	KO-a7.a1.b0	01006	Prenyltransferases
KO-7.1.11	KO-a7.a1.b1	01007	Amino acid related enzymes
KO-7.1.12	KO-a7.a1.b2	00199	Cytochrome P450
KO-7.1.13	KO-a7.a1.b3	00194	Photosynthesis proteins
KO-7.2	KO-a7.a2	09182	Protein families: genetic information processing
KO-7.2.1	KO-a7.a2.a1	03000	Transcription factors
KO-7.2.2	KO-a7.a2.a2	03021	Transcription machinery
KO-7.2.3	KO-a7.a2.a3	03019	Messenger RNA biogenesis
KO-7.2.4	KO-a7.a2.a4	03041	Spliceosome
KO-7.2.5	KO-a7.a2.a5	03011	Ribosome
KO-7.2.6	KO-a7.a2.a6	03009	Ribosome biogenesis
KO-7.2.7	KO-a7.a2.a7	03016	Transfer RNA biogenesis
KO-7.2.8	KO-a7.a2.a8	03012	Translation factors
KO-7.2.9	KO-a7.a2.a9	03110	Chaperones and folding catalysts
KO-7.2.10	KO-a7.a2.b0	04131	Membrane trafficking
KO-7.2.11	KO-a7.a2.b1	04121	Ubiquitin system
KO-7.2.12	KO-a7.a2.b2	03051	Proteasome
KO-7.2.13	KO-a7.a2.b3	03032	DNA replication proteins
KO-7.2.14	KO-a7.a2.b4	03036	Chromosome and associated proteins
KO-7.2.15	KO-a7.a2.b5	03400	DNA repair and recombination proteins
KO-7.2.16	KO-a7.a2.b6	03029	Mitochondrial biogenesis
KO-7.3	KO-a7.a3	09183	Protein families: signaling and cellular processes
KO-7.3.1	KO-a7.a3.a1	02000	Transporters
KO-7.3.2	KO-a7.a3.a2	02044	Secretion system
KO-7.3.3	KO-a7.a3.a3	02042	Bacterial toxins
KO-7.3.4	KO-a7.a3.a4	02022	Two-component system
KO-7.3.5	KO-a7.a3.a5	02035	Bacterial motility proteins
KO-7.3.6	KO-a7.a3.a6	04812	Cytoskeleton proteins
KO-7.3.7	KO-a7.a3.a7	04147	Exosome
KO-7.3.8	KO-a7.a3.a8	02048	Prokaryotic defense system
KO-7.3.9	KO-a7.a3.a9	04030	G protein-coupled receptors
KO-7.3.10	KO-a7.a3.b0	04050	Cytokine receptors
KO-7.3.11	KO-a7.a3.b1	04054	Pattern recognition receptors
KO-7.3.12	KO-a7.a3.b2	03310	Nuclear receptors
KO-7.3.13	KO-a7.a3.b3	04040	Ion channels
KO-7.3.14	KO-a7.a3.b4	04031	GTP-binding proteins
KO-7.3.15	KO-a7.a3.b5	04052	Cytokines and growth factors
KO-7.3.16	KO-a7.a3.b6	04515	Cell adhesion molecules
KO-7.3.17	KO-a7.a3.b7	04090	CD molecules
KO-7.3.18	KO-a7.a3.b8	01504	Antimicrobial resistance genes
KO-7.3.19	KO-a7.a3.b9	00535	Proteoglycans
KO-7.3.20	KO-a7.a3.c0	00536	Glycosaminoglycan binding proteins
KO-7.3.21	KO-a7.a3.c1	00537	Glycosylphosphatidylinositol (GPI)-anchored proteins
KO-7.3.22	KO-a7.a3.c2	04091	Lectins
KO-7.3.23	KO-a7.a3.c3	04990	Domain-containing proteins not elsewhere classified
KO-7.4	KO-a7.a4	09185	Viral protein families
KO-7.4.1	KO-a7.a4.a1	03200	Viral proteins
KO-7.4.2	KO-a7.a4.a2	03210	Viral fusion proteins
KO-7.5	KO-a7.a5	09184	RNA family
KO-7.5.1	KO-a7.a5.a1	03100	Non-coding RNAs
KO-8	KO-a8	09190	Not Included in Pathway or Brite
KO-8.1	KO-a8.a1	09191	Unclassified: metabolism
KO-8.1.1	KO-a8.a1.a1	99980	Enzymes with EC numbers
KO-8.1.2	KO-a8.a1.a2	99981	Carbohydrate metabolism
KO-8.1.3	KO-a8.a1.a3	99982	Energy metabolism
KO-8.1.4	KO-a8.a1.a4	99983	Lipid metabolism
KO-8.1.5	KO-a8.a1.a5	99984	Nucleotide metabolism
KO-8.1.6	KO-a8.a1.a6	99985	Amino acid metabolism
KO-8.1.7	KO-a8.a1.a7	99986	Glycan metabolism
KO-8.1.8	KO-a8.a1.a8	99987	Cofactor metabolism
KO-8.1.9	KO-a8.a1.a9	99988	Secondary metabolism
KO-8.1.10	KO-a8.a1.b0	99999	Others
KO-8.2	KO-a8.a2	09192	Unclassified: genetic information processing
KO-8.2.1	KO-a8.a2.a1	99973	Transcription
KO-8.2.2	KO-a8.a2.a2	99974	Translation
KO-8.2.3	KO-a8.a2.a3	99975	Protein processing
KO-8.2.4	KO-a8.a2.a4	99976	Replication and repair
KO-8.2.5	KO-a8.a2.a5	99998	Others
KO-8.3	KO-a8.a3	09193	Unclassified: signaling and cellular processes
KO-8.3.1	KO-a8.a3.a1	99977	Transport
KO-8.3.2	KO-a8.a3.a2	99978	Cell growth
KO-8.3.3	KO-a8.a3.a3	99993	Cell motility
KO-8.3.4	KO-a8.a3.a4	99995	Signaling proteins
KO-8.3.5	KO-a8.a3.a5	99992	Structural proteins
KO-8.3.6	KO-a8.a3.a6	99994	Others
KO-8.3.7	KO-a8.a3.a7	99979	Unclassified viral proteins
KO-8.4	KO-a8.a4	09194	Poorly characterized
KO-8.4.1	KO-a8.a4.a1	99996	General function prediction only
KO-8.4.2	KO-a8.a4.a2	99997	Function unknown
